Name,URL,Lat,Long,Information,Image URL
Catlin Gabel,http://www.catlin.edu/index.cfm,45.509995,-122.767482,"""An independent preschool through 12th grade day school in Portland, Oregon""",http://gpsen.org/wp-content/assets/map/catlinGabel.jpg
The Emerson School,http://www.emersonschool.org/,45.524031,-122.679401,"""We are a welcoming, inclusive learning community committed to equity for all students. In addition to comprehensive literacy and mathematics instruction, students are actively engaged through project-based learning using the outside community as an extension of the classroom. Learn more about us.""",http://gpsen.org/wp-content/assets/map/emersonLogo.jpg
